payment_id,booking_id,payment_status,paid_amount
P1,B1,Paid,18640
P2,B2,Refunded,0
P3,B3,Paid,15916
P4,B4,Paid,18992
P5,B5,Paid,24656
P6,B6,Refunded,0
P7,B7,Paid,16948
P8,B8,Paid,13956
P9,B9,Paid,37532
P10,B10,Paid,39048
P11,B11,Paid,18078
P12,B12,Paid,30696
P13,B13,Paid,34503
P14,B14,Paid,23022
P15,B15,Refunded,0
P16,B16,Paid,35484
P17,B17,Paid,12697
P18,B18,Paid,15292
P19,B19,Paid,41980
P20,B20,Paid,10284
P21,B21,Paid,7356
P22,B22,Paid,13784
P23,B23,Paid,26541
P24,B24,Paid,18309
P25,B25,Paid,34380
P26,B26,Paid,19929
P27,B27,Refunded,0
P28,B28,Paid,52604
P29,B29,Paid,7498
P30,B30,Paid,9127
P31,B31,Paid,13512
P32,B32,Paid,33716
P33,B33,Paid,17872
P34,B34,Paid,8823
P35,B35,Refunded,0
P36,B36,Paid,19122
P37,B37,Refunded,0
P38,B38,Paid,27876
P39,B39,Refunded,0
P40,B40,Refunded,0
P41,B41,Paid,9562
P42,B42,Paid,23840
P43,B43,Paid,39752
P44,B44,Paid,12372
P45,B45,Paid,30112
P46,B46,Paid,31700
P47,B47,Paid,19443
P48,B48,Paid,6452
P49,B49,Paid,16184
P50,B50,Paid,31436
P51,B51,Paid,17142
P52,B52,Paid,9909
P53,B53,Paid,28704
P54,B54,Refunded,0
P55,B55,Paid,46240
P56,B56,Paid,30735
P57,B57,Paid,23744
P58,B58,Paid,21072
P59,B59,Paid,34098
P60,B60,Refunded,0
P61,B61,Paid,51136
P62,B62,Paid,14866
P63,B63,Paid,19779
P64,B64,Paid,33315
P65,B65,Paid,11888
P66,B66,Paid,37110
P67,B67,Paid,28180
P68,B68,Paid,25068
P69,B69,Paid,30882
P70,B70,Refunded,0
P71,B71,Paid,24858
P72,B72,Paid,33296
P73,B73,Paid,14444
P74,B74,Refunded,0
P75,B75,Paid,31365
P76,B76,Paid,27993
P77,B77,Paid,15038
P78,B78,Paid,18516
P79,B79,Paid,33424
P80,B80,Paid,18842
P81,B81,Paid,16048
P82,B82,Paid,17550
P83,B83,Paid,21498
P84,B84,Paid,5654
P85,B85,Paid,25444
P86,B86,Paid,19110
P87,B87,Paid,34032
P88,B88,Paid,24800
P89,B89,Paid,16342
P90,B90,Paid,16383
P91,B91,Paid,44432
P92,B92,Paid,12889
P93,B93,Paid,33712
P94,B94,Paid,30426
P95,B95,Paid,11390
P96,B96,Paid,44436
P97,B97,Refunded,0
P98,B98,Paid,23756
P99,B99,Paid,11888
P100,B100,Paid,11642
P101,B101,Paid,44900
P102,B102,Paid,12570
P103,B103,Refunded,0
P104,B104,Paid,34128
P105,B105,Paid,10882
P106,B106,Paid,35924
P107,B107,Paid,21126
P108,B108,Paid,41388
P109,B109,Paid,27378
P110,B110,Paid,42336
P111,B111,Paid,24884
P112,B112,Paid,50296
P113,B113,Paid,23478
P114,B114,Paid,8176
P115,B115,Paid,39840
P116,B116,Paid,35632
P117,B117,Paid,6049
P118,B118,Paid,47952
P119,B119,Paid,28161
P120,B120,Paid,19850
P121,B121,Paid,34848
P122,B122,Paid,19008
P123,B123,Paid,11048
P124,B124,Paid,9023
P125,B125,Refunded,0
P126,B126,Paid,22572
P127,B127,Paid,46032
P128,B128,Refunded,0
P129,B129,Paid,28095
P130,B130,Paid,23516
P131,B131,Paid,31662
P132,B132,Paid,10739
P133,B133,Paid,37464
P134,B134,Paid,27966
P135,B135,Paid,33912
P136,B136,Paid,20898
P137,B137,Paid,25722
P138,B138,Paid,32160
P139,B139,Paid,6530
P140,B140,Paid,44568
P141,B141,Paid,32754
P142,B142,Paid,34659
P143,B143,Paid,35332
P144,B144,Paid,26682
P145,B145,Paid,16446
P146,B146,Paid,19116
P147,B147,Paid,9372
P148,B148,Paid,24644
P149,B149,Paid,17304
P150,B150,Paid,28272
P151,B151,Paid,11412
P152,B152,Paid,18750
P153,B153,Paid,10828
P154,B154,Paid,17082
P155,B155,Paid,18087
P156,B156,Paid,37776
P157,B157,Paid,14602
P158,B158,Paid,16782
P159,B159,Paid,17946
P160,B160,Paid,29757
P161,B161,Paid,14164
P162,B162,Paid,11332
P163,B163,Paid,26508
P164,B164,Paid,29600
P165,B165,Paid,9985
P166,B166,Paid,7095
P167,B167,Paid,42824
P168,B168,Paid,38320
P169,B169,Paid,18804
P170,B170,Paid,11422
P171,B171,Paid,43288
P172,B172,Paid,35588
P173,B173,Paid,11150
P174,B174,Paid,51204
P175,B175,Paid,10477
P176,B176,Paid,31804
P177,B177,Paid,22720
P178,B178,Refunded,0
P179,B179,Paid,25644
P180,B180,Paid,10814
P181,B181,Paid,21648
P182,B182,Refunded,0
P183,B183,Paid,22984
